val,ind0,ind1,ind2
0.53304,0.53309,0.53116,0.5313
0.53223,0.53304,0.53209,0.53302
0.53243,0.53256,0.53225,0.53229
0.53252,0.53252,0.53235,0.53242
0.53244,0.53252,0.53238,0.53249
0.53286,0.53294,0.53243,0.53244
0.5327,0.53287,0.53266,0.53286
0.53243,0.53266,0.53224,0.53266
0.53244,0.53248,0.53239,0.53243
0.53246,0.53273,0.53246,0.53257
0.53248,0.53256,0.53248,0.53248
0.53249,0.53251,0.53237,0.5325
0.53249,0.53257,0.53245,0.53247
0.53247,0.53255,0.53241,0.53248
0.53209,0.53247,0.53208,0.53246
0.53165,0.53209,0.53165,0.53207
0.53193,0.53197,0.53165,0.53166
0.53177,0.53197,0.53174,0.53192
0.53163,0.53178,0.53161,0.53178
0.53161,0.53166,0.53145,0.53165
0.53143,0.53161,0.53142,0.53161
0.53136,0.53145,0.53135,0.53144
0.53142,0.53147,0.53133,0.53137
0.53146,0.53149,0.5314,0.53142
0.5315,0.53153,0.53142,0.53146
0.53151,0.53162,0.53149,0.53151
0.53144,0.5315,0.53135,0.53149
0.53135,0.53144,0.53134,0.53144
0.5313,0.53136,0.53128,0.53135
0.53151,0.53153,0.53133,0.53135
0.53141,0.53151,0.53132,0.53149
0.53127,0.53143,0.53124,0.53141
0.53128,0.53132,0.53121,0.53124
0.53121,0.53128,0.53121,0.53128
0.53118,0.53125,0.53118,0.53122
0.53126,0.53132,0.53113,0.53113
0.53117,0.53127,0.53117,0.53126
0.53099,0.53117,0.53093,0.53117
0.53096,0.53101,0.53093,0.53099
0.53083,0.53096,0.53083,0.53096
0.53104,0.53106,0.53083,0.53084
0.53107,0.53114,0.53102,0.53105
0.53127,0.5314,0.53106,0.53106
0.53126,0.5313,0.53115,0.53128
0.53123,0.53125,0.53115,0.53125
0.5313,0.53132,0.53114,0.53123
0.53124,0.53136,0.53123,0.53131
0.53117,0.53125,0.53116,0.53123
0.53123,0.53123,0.53115,0.53118
0.53114,0.53124,0.53112,0.53122
0.53114,0.53116,0.53113,0.53116
0.53115,0.53115,0.53114,0.53114
0.53115,0.53118,0.53113,0.53118
0.53117,0.53117,0.53112,0.53113
0.53118,0.53124,0.53115,0.53115
0.5313,0.53132,0.53118,0.53119
0.5313,0.53132,0.53126,0.53132
0.53128,0.53132,0.53128,0.53131
0.53144,0.53147,0.53128,0.53129
0.53153,0.53153,0.53143,0.53146
0.53162,0.53164,0.53149,0.53151
0.53155,0.53163,0.53152,0.53163
0.53143,0.53156,0.53143,0.53154
0.53142,0.53148,0.53133,0.53144
0.53148,0.53149,0.53141,0.53143
0.53153,0.53159,0.53146,0.53147
0.53147,0.53156,0.53145,0.53155
0.53145,0.53147,0.53145,0.53147
0.53155,0.53157,0.53145,0.53145
0.53166,0.53171,0.53156,0.53156
0.53163,0.53167,0.5316,0.53167
0.53159,0.53166,0.53158,0.53164
0.53158,0.53161,0.53158,0.5316
0.5316,0.53167,0.53158,0.53159
0.53165,0.53166,0.53155,0.53159
0.53166,0.53172,0.53154,0.53163
0.53163,0.53167,0.53161,0.53167
0.53167,0.53168,0.53163,0.53164
0.53172,0.53177,0.53163,0.53166
0.53185,0.53185,0.53171,0.53171
0.53186,0.53191,0.5318,0.53185
0.53201,0.53201,0.53186,0.53187
0.5319,0.532,0.53189,0.532
0.53199,0.53202,0.5319,0.5319
0.53205,0.53205,0.53196,0.532
0.5321,0.53211,0.53204,0.53204
0.53212,0.53213,0.53208,0.5321
0.5321,0.53215,0.53207,0.53212
0.53215,0.53216,0.53207,0.5321
0.53213,0.53219,0.53207,0.53215
0.5321,0.53218,0.53204,0.53214
0.532,0.53211,0.53199,0.53209
0.53195,0.53201,0.53194,0.532
0.532,0.53202,0.53193,0.53194
0.532,0.53202,0.53199,0.532
0.53204,0.53205,0.532,0.532
0.53191,0.53204,0.53191,0.53204
0.53188,0.53192,0.53175,0.53191
0.53183,0.53191,0.53183,0.53188
0.53188,0.53189,0.53186,0.53186
0.5319,0.53194,0.53186,0.53186
0.53197,0.53199,0.5319,0.5319
0.53193,0.53199,0.53193,0.53199
0.53187,0.53194,0.53185,0.53193
0.53187,0.5319,0.53183,0.53188
0.53191,0.53191,0.53187,0.53188
0.53194,0.53195,0.5319,0.5319
0.53202,0.53202,0.53192,0.53194
0.53194,0.53201,0.53194,0.532
0.53192,0.53197,0.53191,0.53194
0.532,0.532,0.53192,0.53193
0.53198,0.532,0.53193,0.532
0.53199,0.532,0.53198,0.53198
0.53199,0.53203,0.53198,0.53198
0.53201,0.53203,0.53197,0.53199
0.53203,0.53205,0.53201,0.53201
0.53209,0.5321,0.53203,0.53203
0.53217,0.53217,0.53209,0.53209
0.53213,0.53218,0.53213,0.53217
0.53222,0.53234,0.53212,0.53214
0.53243,0.53246,0.53218,0.53222
0.53254,0.53264,0.53234,0.53243
0.53249,0.53262,0.53246,0.53255
0.53239,0.53252,0.53234,0.53252
0.53245,0.53247,0.53239,0.5324
0.53246,0.53249,0.53238,0.53244
0.53224,0.53249,0.53209,0.53247
0.53208,0.53237,0.53208,0.53223
0.5321,0.53212,0.53199,0.53208
0.53221,0.53234,0.5321,0.5321
0.53228,0.53232,0.53212,0.53222
0.53233,0.53242,0.53228,0.53228
0.53226,0.53234,0.53224,0.53232
0.53223,0.53227,0.53211,0.53223
0.53207,0.53223,0.53205,0.53222
0.53216,0.53216,0.53198,0.53208
0.53176,0.53211,0.53176,0.53211
0.53156,0.53182,0.53151,0.53176
0.53142,0.53161,0.5313,0.53156
0.53129,0.53151,0.53116,0.53142
0.53126,0.53126,0.53115,0.53125
0.53112,0.53125,0.53111,0.53125
0.53123,0.53123,0.53112,0.53112
0.53138,0.53139,0.53123,0.53126
0.53126,0.53142,0.53124,0.53138
0.53118,0.53128,0.53118,0.53126
0.53149,0.53149,0.53129,0.53129
0.53139,0.53148,0.53139,0.53148
0.53142,0.53145,0.53137,0.5314
0.53146,0.53147,0.53141,0.53142
0.53142,0.5315,0.53136,0.53146
0.53139,0.53142,0.53135,0.53142
0.53144,0.53151,0.53138,0.53139
0.53131,0.53147,0.53128,0.53146
0.5314,0.53143,0.53129,0.53131
0.53158,0.53159,0.5314,0.5314
0.53134,0.53156,0.53133,0.53156
0.53158,0.5316,0.53133,0.53134
0.53147,0.53157,0.53143,0.53157
0.53152,0.53158,0.53147,0.53147
0.53147,0.53154,0.53146,0.53152
0.53138,0.53152,0.53138,0.5315
0.53143,0.53144,0.53134,0.53138
0.53135,0.53142,0.53135,0.53141
0.53129,0.53137,0.53129,0.53131
0.53121,0.53124,0.53118,0.53123
0.53119,0.53125,0.53117,0.53118
0.53121,0.53124,0.53115,0.53118
0.53126,0.53126,0.53112,0.53115
0.53133,0.5314,0.5312,0.53126
0.53135,0.53139,0.5313,0.53135
0.53148,0.53148,0.53135,0.53135
0.53166,0.53171,0.53152,0.53152
0.53161,0.5317,0.53159,0.53165
0.53168,0.53176,0.53161,0.53162
0.53173,0.53173,0.53168,0.53168
0.53167,0.53172,0.53164,0.53168
0.53169,0.53174,0.53167,0.53167
0.53174,0.53174,0.53169,0.53169
0.53169,0.53174,0.53168,0.53174
0.53168,0.53174,0.53164,0.53167
0.53179,0.53184,0.53164,0.53169
0.53181,0.53184,0.53167,0.5318
0.53186,0.53193,0.5318,0.5318
0.53178,0.53188,0.53178,0.53183
0.53189,0.53197,0.53178,0.53178
0.53184,0.5319,0.5318,0.53186
0.53185,0.53187,0.53182,0.53185
0.53183,0.53185,0.53181,0.53185
0.53177,0.53185,0.53176,0.53184
0.53178,0.53183,0.53175,0.53179
0.53178,0.53179,0.53174,0.53175
0.53176,0.53183,0.53176,0.53179
0.53187,0.53187,0.53178,0.53178
0.53163,0.53188,0.53163,0.53186
0.53163,0.53168,0.5316,0.53163
0.53167,0.53169,0.53161,0.53162
0.53174,0.53175,0.53165,0.53166
0.53178,0.53179,0.53174,0.53174
0.53178,0.5318,0.53175,0.53178
0.53193,0.53195,0.53179,0.53179
0.53197,0.53205,0.5319,0.53193
0.53196,0.53202,0.53193,0.53196
0.53201,0.53206,0.53189,0.53196
0.53195,0.53201,0.53194,0.53201
0.53197,0.53199,0.53194,0.53196
0.53204,0.53209,0.53196,0.53197
0.53204,0.53213,0.53203,0.53203
0.53222,0.53225,0.53204,0.53205
0.53218,0.53228,0.53205,0.5322
0.53204,0.53219,0.5319,0.53218
0.53195,0.53207,0.53189,0.53204
0.53195,0.53199,0.53194,0.53195
0.5318,0.53193,0.53178,0.53193
0.53186,0.53189,0.53182,0.53182
0.53183,0.53194,0.53179,0.53185
0.53197,0.53199,0.53181,0.53182
0.53197,0.53204,0.53189,0.53196
0.53179,0.53196,0.53178,0.53194
0.53183,0.53191,0.53178,0.5318
0.53179,0.53184,0.53178,0.53184
0.53183,0.53186,0.53178,0.53179
0.53201,0.53201,0.53183,0.53183
0.53207,0.53211,0.532,0.53205
0.53206,0.53209,0.53199,0.53207
0.53209,0.53218,0.53198,0.53206
0.53198,0.53217,0.53194,0.53208
0.53211,0.53211,0.53198,0.53198
0.53195,0.53211,0.53193,0.53211
0.53185,0.53196,0.53183,0.53196
0.53195,0.53199,0.5318,0.53185
0.53199,0.53202,0.53194,0.53197
0.53195,0.53201,0.53193,0.53195
0.53198,0.53211,0.53197,0.53199
0.53195,0.53197,0.53184,0.53195
0.532,0.53204,0.53195,0.53195
0.532,0.53203,0.53195,0.53198
0.53217,0.53222,0.53203,0.53203
0.53214,0.53218,0.5321,0.53218
0.53212,0.53216,0.53199,0.53214
0.53217,0.53224,0.53211,0.53212
0.53211,0.53217,0.53206,0.53217
0.53211,0.53213,0.5321,0.53212
0.53202,0.53212,0.532,0.5321
0.53196,0.53207,0.53195,0.53202
0.53203,0.53205,0.53194,0.53196
0.53198,0.5321,0.53197,0.53204
0.53196,0.53202,0.53194,0.53199
0.53192,0.53197,0.53189,0.53197
0.53193,0.53193,0.53184,0.5319
0.53201,0.53202,0.53185,0.532
0.53198,0.53203,0.53196,0.53201
0.53201,0.53203,0.53197,0.53198
0.53197,0.53202,0.53196,0.53201
0.532,0.53201,0.53196,0.53196
0.53201,0.53203,0.53195,0.53201
0.53204,0.53207,0.532,0.532
0.53209,0.53211,0.53203,0.53205
0.53206,0.53212,0.53205,0.5321
0.53207,0.53207,0.53202,0.53205
0.53202,0.53208,0.53201,0.53207
0.53212,0.53212,0.53203,0.53203
0.53223,0.53227,0.53211,0.53212
0.53229,0.53231,0.53219,0.53222
0.53229,0.53231,0.53223,0.5323
0.53219,0.5323,0.53219,0.53229
0.53209,0.53221,0.53207,0.53218
0.53206,0.53211,0.53203,0.53209
0.532,0.53209,0.53199,0.53205
0.53204,0.53206,0.53198,0.53199
0.53204,0.53206,0.53202,0.53204
0.53203,0.53205,0.53201,0.53204
0.53196,0.53206,0.53196,0.53201
0.532,0.53202,0.53197,0.53197
0.53209,0.5321,0.532,0.53201
0.53207,0.5321,0.53204,0.53207
0.53207,0.53211,0.53207,0.53207
0.53201,0.53208,0.53201,0.53208
0.53198,0.53201,0.53194,0.53199
0.53198,0.532,0.53197,0.53198
0.53196,0.532,0.53196,0.53198
0.53201,0.53201,0.53196,0.53197
0.532,0.53201,0.53196,0.53201
0.53202,0.53205,0.532,0.532
0.53197,0.53204,0.53195,0.53202
0.53194,0.53197,0.53194,0.53197
0.53191,0.53195,0.53189,0.53194
0.53194,0.53195,0.53189,0.53191
0.53189,0.53196,0.53189,0.53196
0.53186,0.53188,0.53186,0.53188
0.53185,0.53187,0.53185,0.53186
0.53184,0.53187,0.53183,0.53185
0.53191,0.53192,0.53183,0.53183
0.53193,0.53197,0.53191,0.53191
0.53193,0.53193,0.53193,0.53193
0.53192,0.53193,0.5319,0.53193
0.53194,0.53196,0.53191,0.53191
0.53191,0.53193,0.53191,0.53191
0.53189,0.5319,0.53187,0.53189
0.53184,0.5319,0.53184,0.53187
0.53185,0.53188,0.53183,0.53185
0.5318,0.53185,0.5318,0.53185
0.5318,0.53183,0.5318,0.53181
0.53175,0.53182,0.53175,0.5318
0.53176,0.53179,0.53175,0.53175
0.53176,0.53181,0.53172,0.53176
0.53177,0.53181,0.53175,0.53176
0.53189,0.53189,0.53177,0.53177
0.53188,0.53191,0.53186,0.53191
0.5319,0.5319,0.53185,0.53188
0.53185,0.5319,0.53182,0.5319
0.5319,0.5319,0.53184,0.53185
0.53193,0.53195,0.53191,0.53191
0.53193,0.53194,0.53191,0.53194
0.5318,0.53194,0.5318,0.53193
0.53181,0.53184,0.53177,0.5318
0.53192,0.53196,0.53178,0.53182
0.53204,0.53204,0.5319,0.53192
0.5321,0.5321,0.53203,0.53204
